"","date","team","opponent","goals","home.adv"
"298",2017-06-03,"Philadelphia","New York City FC",1,0
"299",2017-06-03,"Minnesota United","Kansas City",0,0
"300",2017-06-03,"Atlanta United","Vancouver",1,0
"301",2017-06-04,"DC United","L.A. Galaxy",0,1
"302",2017-06-04,"New England","Toronto",3,1
"303",2017-06-04,"Montreal","New York",1,1
"304",2017-06-04,"FC Dallas","Salt Lake",6,1
"305",2017-06-04,"Colorado","Columbus",2,1
"306",2017-06-04,"L.A. Galaxy","DC United",0,0
"307",2017-06-04,"Toronto","New England",0,0
"308",2017-06-04,"New York","Montreal",0,0
"309",2017-06-04,"Salt Lake","FC Dallas",2,0
"310",2017-06-04,"Columbus","Colorado",1,0
"311",2017-06-05,"Orlando City","Chicago",0,1
"312",2017-06-05,"Seattle","Houston",1,1
"313",2017-06-05,"Chicago","Orlando City",0,0
"314",2017-06-05,"Houston","Seattle",0,0
"315",2017-06-10,"Chicago","Atlanta United",2,1
"316",2017-06-10,"Atlanta United","Chicago",0,0
"317",2017-06-11,"Kansas City","Montreal",1,1
"318",2017-06-11,"Portland","FC Dallas",2,1
"319",2017-06-11,"Montreal","Kansas City",1,0
"320",2017-06-11,"FC Dallas","Portland",0,0
"321",2017-06-17,"New York City FC","Seattle",2,1
"322",2017-06-17,"L.A. Galaxy","Houston",2,1
"323",2017-06-17,"Seattle","New York City FC",1,0
"324",2017-06-17,"Houston","L.A. Galaxy",2,0
"325",2017-06-18,"Atlanta United","Columbus",3,1
"326",2017-06-18,"New England","Chicago",1,1
"327",2017-06-18,"Orlando City","Montreal",3,1
"328",2017-06-18,"Toronto","DC United",2,1
"329",2017-06-18,"San Jose","Kansas City",0,1
"330",2017-06-18,"Colorado","Portland",2,1
"331",2017-06-18,"Vancouver","FC Dallas",1,1
"332",2017-06-18,"Salt Lake","Minnesota United",1,1
"333",2017-06-18,"Philadelphia","New York",0,1
"334",2017-06-18,"Columbus","Atlanta United",1,0
"335",2017-06-18,"Chicago","New England",2,0
"336",2017-06-18,"Montreal","Orlando City",3,0
"337",2017-06-18,"DC United","Toronto",0,0
"338",2017-06-18,"Kansas City","San Jose",0,0
"339",2017-06-18,"Portland","Colorado",1,0
"340",2017-06-18,"FC Dallas","Vancouver",1,0
"341",2017-06-18,"Minnesota United","Salt Lake",0,0
"342",2017-06-18,"New York","Philadelphia",2,0
"343",2017-06-22,"DC United","Atlanta United",2,1
"344",2017-06-22,"Minnesota United","Portland",3,1
"345",2017-06-22,"Colorado","L.A. Galaxy",1,1
"346",2017-06-22,"Seattle","Orlando City",1,1
"347",2017-06-22,"Atlanta United","DC United",1,0
"348",2017-06-22,"Portland","Minnesota United",2,0
"349",2017-06-22,"L.A. Galaxy","Colorado",3,0
"350",2017-06-22,"Orlando City","Seattle",1,0
"351",2017-06-24,"Toronto","New England",2,1
"352",2017-06-24,"Houston","FC Dallas",1,1
"353",2017-06-24,"New York","New York City FC",0,1
"354",2017-06-24,"New England","Toronto",0,0
"355",2017-06-24,"FC Dallas","Houston",1,0
"356",2017-06-24,"New York City FC","New York",2,0
"357",2017-06-25,"Atlanta United","Colorado",1,1
"358",2017-06-25,"Philadelphia","DC United",1,1
"359",2017-06-25,"Columbus","Montreal",4,1
"360",2017-06-25,"Minnesota United","Vancouver",2,1
"361",2017-06-25,"Chicago","Orlando City",4,1
"362",2017-06-25,"L.A. Galaxy","Kansas City",1,1
"363",2017-06-25,"San Jose","Salt Lake",2,1
"364",2017-06-25,"Colorado","Atlanta United",0,0
"365",2017-06-25,"DC United","Philadelphia",0,0
"366",2017-06-25,"Montreal","Columbus",1,0
"367",2017-06-25,"Vancouver","Minnesota United",2,0
"368",2017-06-25,"Orlando City","Chicago",0,0
"369",2017-06-25,"Kansas City","L.A. Galaxy",2,0
"370",2017-06-25,"Salt Lake","San Jose",1,0
"371",2017-06-26,"Portland","Seattle",2,1
"372",2017-06-26,"Seattle","Portland",2,0
"373",2017-06-30,"New York City FC","Minnesota United",3,1
"374",2017-06-30,"Minnesota United","New York City FC",1,0
"375",2017-07-01,"Salt Lake","Orlando City",0,1
"376",2017-07-01,"Orlando City","Salt Lake",1,0
"377",2017-07-02,"Chicago","Vancouver",4,1
"378",2017-07-02,"Kansas City","Portland",1,1
"379",2017-07-02,"Montreal","DC United",2,1
"380",2017-07-02,"FC Dallas","Toronto",3,1
"381",2017-07-02,"Columbus","Atlanta United",0,1
"382",2017-07-02,"Colorado","Houston",3,1
"383",2017-07-02,"San Jose","L.A. Galaxy",2,1
"384",2017-07-02,"Philadelphia","New England",3,1
"385",2017-07-02,"Vancouver","Chicago",0,0
"386",2017-07-02,"Portland","Kansas City",1,0
"387",2017-07-02,"DC United","Montreal",0,0
"388",2017-07-02,"Toronto","FC Dallas",1,0
"389",2017-07-02,"Atlanta United","Columbus",2,0
"390",2017-07-02,"Houston","Colorado",1,0
"391",2017-07-02,"L.A. Galaxy","San Jose",1,0
"392",2017-07-02,"New England","Philadelphia",0,0
"393",2017-07-05,"Atlanta United","San Jose",4,1
"394",2017-07-05,"Minnesota United","Columbus",0,1
"395",2017-07-05,"FC Dallas","DC United",4,1
"396",2017-07-05,"Colorado","Seattle",1,1
"397",2017-07-05,"L.A. Galaxy","Salt Lake",2,1
"398",2017-07-05,"San Jose","Atlanta United",2,0
"399",2017-07-05,"Columbus","Minnesota United",1,0
